,team,YUSAG_coef,expected_wins,expected_losses,title_chances
20,Princeton,13.971679764001582,5.89229045097989,1.10770954902011,0.6821
40,Harvard,7.776762351967571,5.082266136673617,1.917733863326383,0.3164
42,Penn,6.876864868490819,4.831220088946746,2.168779911053254,0.2539
55,Dartmouth,4.592075822571814,4.348999361754445,2.651000638245555,0.1428
83,Yale,-4.979445203999374,2.399307790380276,4.600692209619724,0.004
85,Brown,-6.045899336079348,1.8822607681048584,5.117739231895142,0.0019
88,Columbia,-6.883165173206783,1.8347538619344648,5.165246138065536,0.0011
94,Cornell,-7.825878311749101,1.728901541225702,5.271098458774298,0.001
