"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2016,9,10,"Air Force","Georgia St.","H",48,14,NA,2
2016,9,24,"Air Force","Utah St.","V",27,20,NA,2
2016,10,1,"Air Force","Navy","H",28,14,NA,2
2016,10,8,"Air Force","Wyoming","V",26,35,NA,2
2016,10,15,"Air Force","New Mexico","N",40,45,NA,2
2016,10,22,"Air Force","Hawaii","H",27,34,2,2
2016,10,28,"Air Force","Fresno St.","V",31,21,NA,2
2016,11,5,"Air Force","Army West Point","V",31,12,NA,2
2016,11,12,"Air Force","Colorado St.","H",49,46,NA,2
2016,11,19,"Air Force","San Jose St.","V",41,38,NA,2
2016,11,25,"Air Force","Boise St.","H",27,20,NA,2
2016,12,30,"Air Force","South Ala.","N",45,21,NA,2
2016,9,10,"Akron","Wisconsin","V",10,54,NA,2
2016,9,17,"Akron","Marshall","V",65,38,NA,2
2016,9,24,"Akron","Appalachian St.","H",38,45,NA,2
2016,10,1,"Akron","Kent St.","V",31,27,NA,2
2016,10,8,"Akron","Miami (OH)","H",35,13,NA,2
2016,10,15,"Akron","Western Mich.","H",0,41,NA,2
2016,10,22,"Akron","Ball St.","V",35,25,NA,2
2016,10,27,"Akron","Buffalo","V",20,41,NA,2
2016,11,2,"Akron","Toledo","H",17,48,NA,2
2016,11,9,"Akron","Bowling Green","H",28,38,NA,2
2016,11,22,"Akron","Ohio","V",3,9,NA,2
2016,9,3,"Alabama","Southern California","N",52,6,NA,2
2016,9,10,"Alabama","Western Ky.","H",38,10,NA,2
2016,9,17,"Alabama","Ole Miss","V",48,43,NA,2
2016,9,24,"Alabama","Kent St.","H",48,0,NA,2
2016,10,1,"Alabama","Kentucky","H",34,6,NA,2
2016,10,8,"Alabama","Arkansas","V",49,30,NA,2
2016,10,15,"Alabama","Tennessee","V",49,10,NA,2
2016,10,22,"Alabama","Texas A&M","H",33,14,NA,2
2016,11,5,"Alabama","LSU","V",10,0,NA,2
2016,11,12,"Alabama","Mississippi St.","H",51,3,NA,2
2016,11,26,"Alabama","Auburn","H",30,12,NA,2
2016,12,3,"Alabama","Florida","N",54,16,NA,2
2016,12,31,"Alabama","Washington","N",24,7,NA,2
2017,1,9,"Alabama","Clemson","N",31,35,NA,2
2016,9,1,"Appalachian St.","Tennessee","V",13,20,1,2
2016,9,10,"Appalachian St.","Old Dominion","H",31,7,NA,2
2016,9,17,"Appalachian St.","Miami (FL)","H",10,45,NA,2
2016,9,24,"Appalachian St.","Akron","V",45,38,NA,2
2016,10,1,"Appalachian St.","Georgia St.","H",17,3,NA,2
2016,10,12,"Appalachian St.","Louisiana","V",24,0,NA,2
2016,10,22,"Appalachian St.","Idaho","H",37,19,NA,2
2016,10,27,"Appalachian St.","Ga. Southern","V",34,10,NA,2
2016,11,5,"Appalachian St.","Texas St.","H",35,10,NA,2
2016,11,12,"Appalachian St.","Troy","V",24,28,NA,2
2016,11,19,"Appalachian St.","La.-Monroe","H",42,17,NA,2
2016,11,26,"Appalachian St.","New Mexico St.","V",37,7,NA,2
2016,12,17,"Appalachian St.","Toledo","N",31,28,NA,2
2016,9,3,"Arizona","BYU","N",16,18,NA,2
2016,9,17,"Arizona","Hawaii","H",47,28,NA,2
2016,9,24,"Arizona","Washington","H",28,35,1,2
2016,10,1,"Arizona","UCLA","V",24,45,NA,2
2016,10,8,"Arizona","Utah","V",23,36,NA,2
2016,10,15,"Arizona","Southern California","H",14,48,NA,2
2016,10,29,"Arizona","Stanford","H",10,34,NA,2
2016,11,5,"Arizona","Washington St.","V",7,69,NA,2
2016,11,12,"Arizona","Colorado","H",24,49,NA,2
2016,11,19,"Arizona","Oregon St.","V",17,42,NA,2
2016,11,25,"Arizona","Arizona St.","H",56,35,NA,2
2016,9,10,"Arizona St.","Texas Tech","H",68,55,NA,2
2016,9,16,"Arizona St.","UTSA","V",32,28,NA,2
2016,9,24,"Arizona St.","California","H",51,41,NA,2
2016,10,1,"Arizona St.","Southern California","V",20,41,NA,2
2016,10,8,"Arizona St.","UCLA","H",23,20,NA,2
2016,10,15,"Arizona St.","Colorado","V",16,40,NA,2
2016,10,22,"Arizona St.","Washington St.","H",32,37,NA,2
2016,10,29,"Arizona St.","Oregon","V",35,54,NA,2
2016,11,10,"Arizona St.","Utah","H",26,49,NA,2
2016,11,19,"Arizona St.","Washington","V",18,44,NA,2
2016,11,25,"Arizona St.","Arizona","V",35,56,NA,2
2016,9,3,"Arkansas","Louisiana Tech","H",21,20,NA,2
2016,9,10,"Arkansas","TCU","V",41,38,2,2
2016,9,17,"Arkansas","Texas St.","H",42,3,NA,2
2016,9,24,"Arkansas","Texas A&M","N",24,45,NA,2
2016,10,8,"Arkansas","Alabama","H",30,49,NA,2
2016,10,15,"Arkansas","Ole Miss","H",34,30,NA,2
2016,10,22,"Arkansas","Auburn","V",3,56,NA,2
2016,11,5,"Arkansas","Florida","H",31,10,NA,2
2016,11,12,"Arkansas","LSU","H",10,38,NA,2
2016,11,19,"Arkansas","Mississippi St.","V",58,42,NA,2
2016,11,25,"Arkansas","Missouri","V",24,28,NA,2
2016,12,29,"Arkansas","Virginia Tech","N",24,35,NA,2
2016,9,2,"Arkansas St.","Toledo","H",10,31,NA,2
2016,9,10,"Arkansas St.","Auburn","V",14,51,NA,2
2016,9,16,"Arkansas St.","Utah St.","V",20,34,NA,2
2016,10,5,"Arkansas St.","Ga. Southern","H",27,26,NA,2
2016,10,15,"Arkansas St.","South Ala.","H",17,7,NA,2
2016,10,29,"Arkansas St.","La.-Monroe","H",51,10,NA,2
2016,11,3,"Arkansas St.","Georgia St.","V",31,16,NA,2
2016,11,12,"Arkansas St.","New Mexico St.","H",41,22,NA,2
2016,11,17,"Arkansas St.","Troy","V",35,3,NA,2
2016,11,26,"Arkansas St.","Louisiana","V",19,24,NA,2
2016,12,3,"Arkansas St.","Texas St.","V",36,14,NA,2
2016,12,17,"Arkansas St.","UCF","N",31,13,NA,2
2016,9,2,"Army West Point","Temple","V",28,13,NA,2
2016,9,10,"Army West Point","Rice","H",31,14,NA,2
2016,9,17,"Army West Point","UTEP","V",66,14,NA,2
2016,9,24,"Army West Point","Buffalo","V",20,23,1,2
2016,10,8,"Army West Point","Duke","V",6,13,NA,2
2016,10,22,"Army West Point","North Texas","H",18,35,NA,2
2016,10,29,"Army West Point","Wake Forest","V",21,13,NA,2
2016,11,5,"Army West Point","Air Force","H",12,31,NA,2
2016,11,12,"Army West Point","Notre Dame","N",6,44,NA,2
2016,12,10,"Army West Point","Navy","N",21,17,NA,2
2016,12,27,"Army West Point","North Texas","N",38,31,1,2
2016,9,3,"Auburn","Clemson","H",13,19,NA,2
2016,9,10,"Auburn","Arkansas St.","H",51,14,NA,2
2016,9,17,"Auburn","Texas A&M","H",16,29,NA,2
2016,9,24,"Auburn","LSU","H",18,13,NA,2
2016,10,1,"Auburn","La.-Monroe","H",58,7,NA,2
2016,10,8,"Auburn","Mississippi St.","V",38,14,NA,2
2016,10,22,"Auburn","Arkansas","H",56,3,NA,2
2016,10,29,"Auburn","Ole Miss","V",40,29,NA,2
2016,11,5,"Auburn","Vanderbilt","H",23,16,NA,2
2016,11,12,"Auburn","Georgia","V",7,13,NA,2
2016,11,26,"Auburn","Alabama","V",12,30,NA,2
2017,1,2,"Auburn","Oklahoma","N",19,35,NA,2
2016,9,3,"BYU","Arizona","N",18,16,NA,2
2016,9,10,"BYU","Utah","V",19,20,NA,2
2016,9,17,"BYU","UCLA","H",14,17,NA,2
2016,9,24,"BYU","West Virginia","N",32,35,NA,2
2016,9,30,"BYU","Toledo","H",55,53,NA,2
2016,10,8,"BYU","Michigan St.","V",31,14,NA,2
2016,10,14,"BYU","Mississippi St.","H",28,21,2,2
2016,10,20,"BYU","Boise St.","V",27,28,NA,2
2016,11,5,"BYU","Cincinnati","V",20,3,NA,2
2016,11,19,"BYU","Massachusetts","H",51,9,NA,2
2016,11,26,"BYU","Utah St.","H",28,10,NA,2
2016,12,21,"BYU","Wyoming","N",24,21,NA,2
2016,9,2,"Ball St.","Georgia St.","V",31,21,NA,2
2016,9,10,"Ball St.","Indiana","V",20,30,NA,2
2016,9,24,"Ball St.","Fla. Atlantic","V",31,27,NA,2
2016,10,1,"Ball St.","Northern Ill.","H",24,31,NA,2
2016,10,8,"Ball St.","Central Mich.","V",21,24,NA,2
2016,10,15,"Ball St.","Buffalo","V",31,21,NA,2
2016,10,22,"Ball St.","Akron","H",25,35,NA,2
2016,11,1,"Ball St.","Western Mich.","H",20,52,NA,2
2016,11,8,"Ball St.","Eastern Mich.","H",41,48,NA,2
2016,11,16,"Ball St.","Toledo","V",19,37,NA,2
2016,11,22,"Ball St.","Miami (OH)","V",20,21,NA,2
2016,9,10,"Baylor","SMU","H",40,13,NA,2
2016,9,16,"Baylor","Rice","V",38,10,NA,2
2016,9,24,"Baylor","Oklahoma St.","H",35,24,NA,2
2016,10,1,"Baylor","Iowa St.","V",45,42,NA,2
2016,10,15,"Baylor","Kansas","H",49,7,NA,2
2016,10,29,"Baylor","Texas","V",34,35,NA,2
2016,11,5,"Baylor","TCU","H",22,62,NA,2
2016,11,12,"Baylor","Oklahoma","V",24,45,NA,2
2016,11,19,"Baylor","Kansas St.","H",21,42,NA,2
2016,11,25,"Baylor","Texas Tech","N",35,54,NA,2
2016,12,3,"Baylor","West Virginia","V",21,24,NA,2
2016,12,27,"Baylor","Boise St.","N",31,12,NA,2
2016,9,3,"Boise St.","Louisiana","V",45,10,NA,2
2016,9,10,"Boise St.","Washington St.","H",31,28,NA,2
2016,9,24,"Boise St.","Oregon St.","V",38,24,NA,2
2016,10,1,"Boise St.","Utah St.","H",21,10,NA,2
2016,10,7,"Boise St.","New Mexico","V",49,21,NA,2
2016,10,15,"Boise St.","Colorado St.","H",28,23,NA,2
2016,10,20,"Boise St.","BYU","H",28,27,NA,2
2016,10,29,"Boise St.","Wyoming","V",28,30,NA,2
2016,11,4,"Boise St.","San Jose St.","H",45,31,NA,2
2016,11,12,"Boise St.","Hawaii","V",52,16,NA,2
2016,11,18,"Boise St.","UNLV","H",42,25,NA,2
2016,11,25,"Boise St.","Air Force","V",20,27,NA,2
2016,12,27,"Boise St.","Baylor","N",12,31,NA,2
2016,9,3,"Boston College","Georgia Tech","N",14,17,NA,2
2016,9,10,"Boston College","Massachusetts","V",26,7,NA,2
2016,9,17,"Boston College","Virginia Tech","V",0,49,NA,2
2016,10,1,"Boston College","Buffalo","H",35,3,NA,2
2016,10,7,"Boston College","Clemson","H",10,56,NA,2
2016,10,22,"Boston College","Syracuse","H",20,28,NA,2
2016,10,29,"Boston College","North Carolina St.","V",21,14,NA,2
2016,11,5,"Boston College","Louisville","H",7,52,NA,2
2016,11,11,"Boston College","Florida St.","V",7,45,NA,2
2016,11,19,"Boston College","UConn","H",30,0,NA,2
2016,11,26,"Boston College","Wake Forest","V",17,14,NA,2
2016,12,26,"Boston College","Maryland","N",36,30,NA,2
2016,9,3,"Bowling Green","Ohio St.","V",10,77,NA,2
2016,9,17,"Bowling Green","Middle Tenn.","H",21,41,NA,2
2016,9,24,"Bowling Green","Memphis","V",3,77,NA,2
2016,10,1,"Bowling Green","Eastern Mich.","H",25,28,NA,2
2016,10,8,"Bowling Green","Ohio","V",24,30,NA,2
2016,10,15,"Bowling Green","Toledo","V",35,42,NA,2
2016,10,22,"Bowling Green","Miami (OH)","H",26,40,NA,2
2016,11,1,"Bowling Green","Northern Ill.","V",20,45,NA,2
2016,11,9,"Bowling Green","Akron","V",38,28,NA,2
2016,11,15,"Bowling Green","Kent St.","H",42,7,NA,2
2016,11,25,"Bowling Green","Buffalo","H",27,19,NA,2
2016,9,17,"Buffalo","Nevada","V",14,38,NA,2
2016,9,24,"Buffalo","Army West Point","H",23,20,1,2
2016,10,1,"Buffalo","Boston College","V",3,35,NA,2
2016,10,8,"Buffalo","Kent St.","H",20,44,NA,2
2016,10,15,"Buffalo","Ball St.","H",21,31,NA,2
2016,10,22,"Buffalo","Northern Ill.","V",7,44,NA,2
2016,10,27,"Buffalo","Akron","H",41,20,NA,2
2016,11,3,"Buffalo","Ohio","V",10,34,NA,2
2016,11,12,"Buffalo","Miami (OH)","H",24,35,NA,2
2016,11,19,"Buffalo","Western Mich.","V",0,38,NA,2
2016,11,25,"Buffalo","Bowling Green","V",19,27,NA,2
2016,8,27,"California","Hawaii","N",51,31,NA,2
2016,9,10,"California","San Diego St.","V",40,45,NA,2
2016,9,17,"California","Texas","H",50,43,NA,2
2016,9,24,"California","Arizona St.","V",41,51,NA,2
2016,10,1,"California","Utah","H",28,23,NA,2
2016,10,8,"California","Oregon St.","V",44,47,1,2
2016,10,21,"California","Oregon","H",52,49,2,2
2016,10,27,"California","Southern California","V",24,45,NA,2
2016,11,5,"California","Washington","H",27,66,NA,2
2016,11,12,"California","Washington St.","V",21,56,NA,2
2016,11,19,"California","Stanford","H",31,45,NA,2
2016,11,26,"California","UCLA","H",36,10,NA,2
2016,9,10,"Central Mich.","Oklahoma St.","V",30,27,NA,2
2016,9,17,"Central Mich.","UNLV","H",44,21,NA,2
2016,9,24,"Central Mich.","Virginia","V",35,49,NA,2
2016,10,1,"Central Mich.","Western Mich.","H",10,49,NA,2
2016,10,8,"Central Mich.","Ball St.","H",24,21,NA,2
2016,10,15,"Central Mich.","Northern Ill.","V",34,28,3,2
2016,10,22,"Central Mich.","Toledo","V",17,31,NA,2
2016,10,29,"Central Mich.","Kent St.","H",24,27,NA,2
2016,11,4,"Central Mich.","Miami (OH)","V",17,37,NA,2
2016,11,15,"Central Mich.","Ohio","H",27,20,NA,2
2016,11,22,"Central Mich.","Eastern Mich.","V",21,26,NA,2
2016,12,19,"Central Mich.","Tulsa","N",10,55,NA,2
2016,9,1,"Charlotte","Louisville","V",14,70,NA,2
2016,9,17,"Charlotte","Eastern Mich.","H",19,37,NA,2
2016,9,24,"Charlotte","Temple","V",20,48,NA,2
2016,10,1,"Charlotte","Old Dominion","H",17,52,NA,2
2016,10,9,"Charlotte","Fla. Atlantic","V",28,23,NA,2
2016,10,15,"Charlotte","FIU","H",26,27,NA,2
2016,10,22,"Charlotte","Marshall","V",27,24,NA,2
2016,11,5,"Charlotte","Southern Miss.","V",38,27,NA,2
2016,11,12,"Charlotte","Rice","H",21,22,NA,2
2016,11,19,"Charlotte","Middle Tenn.","H",31,38,NA,2
2016,11,26,"Charlotte","UTSA","V",14,33,NA,2
2016,9,10,"Cincinnati","Purdue","V",38,20,NA,2
2016,9,15,"Cincinnati","Houston","H",16,40,NA,2
2016,9,24,"Cincinnati","Miami (OH)","H",27,20,NA,2
2016,10,1,"Cincinnati","South Fla.","H",20,45,NA,2
2016,10,8,"Cincinnati","UConn","V",9,20,NA,2
