"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2014,9,6,"Abilene Christian","Northern Ariz.","H",21,27,NA,2
2014,9,20,"Abilene Christian","Incarnate Word","H",21,0,NA,2
2014,9,27,"Abilene Christian","Houston Baptist","V",59,14,NA,2
2014,10,4,"Abilene Christian","Lamar University","H",21,24,NA,2
2014,10,18,"Abilene Christian","McNeese","V",20,31,NA,2
2014,10,25,"Abilene Christian","Sam Houston St.","V",21,38,NA,2
2014,11,1,"Abilene Christian","Central Ark.","N",52,35,NA,2
2014,11,8,"Abilene Christian","Northwestern St.","H",10,34,NA,2
2014,11,15,"Abilene Christian","SFA","V",37,35,NA,2
2014,8,31,"Alabama A&M","N.C. A&T","N",13,47,NA,2
2014,9,20,"Alabama A&M","Texas Southern","V",23,45,NA,2
2014,9,27,"Alabama A&M","Mississippi Val.","V",42,20,NA,2
2014,10,4,"Alabama A&M","Grambling","H",28,38,NA,2
2014,10,11,"Alabama A&M","Southern U.","H",34,35,NA,2
2014,10,25,"Alabama A&M","Alabama St.","N",37,36,NA,2
2014,11,1,"Alabama A&M","Jackson St.","V",25,14,NA,2
2014,11,8,"Alabama A&M","Alcorn","H",14,41,NA,2
2014,11,15,"Alabama A&M","Prairie View","H",35,38,NA,2
2014,11,22,"Alabama A&M","Ark.-Pine Bluff","V",19,20,NA,2
2014,8,30,"Alabama St.","Sam Houston St.","V",20,51,NA,2
2014,9,6,"Alabama St.","Tennessee St.","H",27,21,NA,2
2014,9,13,"Alabama St.","Mississippi Val.","H",47,22,NA,2
2014,9,18,"Alabama St.","Ark.-Pine Bluff","H",42,7,NA,2
2014,9,27,"Alabama St.","Texas Southern","H",38,3,NA,2
2014,10,2,"Alabama St.","Alcorn","V",7,33,NA,2
2014,10,11,"Alabama St.","Prairie View","V",24,34,NA,2
2014,10,25,"Alabama St.","Alabama A&M","N",36,37,NA,2
2014,11,1,"Alabama St.","Southern U.","V",21,28,NA,2
2014,11,8,"Alabama St.","Jackson St.","H",26,10,NA,2
2014,11,15,"Alabama St.","Grambling","V",37,23,NA,2
2014,8,30,"Albany (NY)","Holy Cross","H",14,13,NA,2
2014,9,6,"Albany (NY)","Central Conn. St.","V",19,0,NA,2
2014,9,20,"Albany (NY)","Rhode Island","V",37,20,NA,2
2014,9,27,"Albany (NY)","Columbia","H",42,7,NA,2
2014,10,4,"Albany (NY)","James Madison","H",28,31,NA,2
2014,10,11,"Albany (NY)","Richmond","H",28,41,NA,2
2014,10,18,"Albany (NY)","Maine","V",20,7,NA,2
2014,10,25,"Albany (NY)","Colgate","H",24,17,NA,2
2014,11,1,"Albany (NY)","New Hampshire","V",24,49,NA,2
2014,11,8,"Albany (NY)","Delaware","H",28,31,NA,2
2014,11,15,"Albany (NY)","Villanova","V",31,48,NA,2
2014,11,22,"Albany (NY)","Stony Brook","H",27,17,NA,2
2014,9,20,"Alcorn","Mississippi Val.","V",52,9,NA,2
2014,9,27,"Alcorn","Southern U.","H",56,16,NA,2
2014,10,2,"Alcorn","Alabama St.","H",33,7,NA,2
2014,10,11,"Alcorn","Grambling","V",21,28,NA,2
2014,10,18,"Alcorn","Texas Southern","H",40,25,NA,2
2014,10,25,"Alcorn","Prairie View","V",77,48,NA,2
2014,11,8,"Alcorn","Alabama A&M","V",41,14,NA,2
2014,11,15,"Alcorn","Ark.-Pine Bluff","H",56,6,NA,2
2014,11,22,"Alcorn","Jackson St.","H",31,34,NA,2
2014,12,6,"Alcorn","Southern U.","N",38,24,NA,2
2014,9,18,"Ark.-Pine Bluff","Alabama St.","V",7,42,NA,2
2014,9,27,"Ark.-Pine Bluff","Jackson St.","H",30,33,1,2
2014,10,4,"Ark.-Pine Bluff","Southern U.","V",36,51,NA,2
2014,10,18,"Ark.-Pine Bluff","Grambling","V",39,63,NA,2
2014,10,25,"Ark.-Pine Bluff","Texas Southern","V",38,37,NA,2
2014,11,1,"Ark.-Pine Bluff","Mississippi Val.","H",24,14,NA,2
2014,11,8,"Ark.-Pine Bluff","Prairie View","H",23,51,NA,2
2014,11,15,"Ark.-Pine Bluff","Alcorn","V",6,56,NA,2
2014,11,22,"Ark.-Pine Bluff","Alabama A&M","H",20,19,NA,2
2014,9,13,"Austin Peay","Chattanooga","H",6,42,NA,2
2014,9,20,"Austin Peay","Eastern Ill.","V",7,63,NA,2
2014,9,27,"Austin Peay","Illinois St.","V",6,55,NA,2
2014,10,4,"Austin Peay","Eastern Ky.","H",0,31,NA,2
2014,10,11,"Austin Peay","Mercer","V",21,49,NA,2
2014,10,18,"Austin Peay","Murray St.","H",20,13,NA,2
2014,10,25,"Austin Peay","UT Martin","V",7,37,NA,2
2014,11,1,"Austin Peay","Jacksonville St.","V",0,56,NA,2
2014,11,8,"Austin Peay","Tennessee St.","H",27,31,NA,2
2014,11,15,"Austin Peay","Southeast Mo. St.","V",7,42,NA,2
2014,11,22,"Austin Peay","Tennessee Tech","H",15,41,NA,2
2014,9,13,"Bethune-Cookman","Grambling","H",36,23,NA,2
2014,10,4,"Bethune-Cookman","Delaware St.","H",27,7,NA,2
2014,10,11,"Bethune-Cookman","Howard","H",49,12,NA,2
2014,10,18,"Bethune-Cookman","Savannah St.","V",48,20,NA,2
2014,10,25,"Bethune-Cookman","South Carolina St.","V",14,20,NA,2
2014,11,1,"Bethune-Cookman","N.C. Central","H",34,20,NA,2
2014,11,6,"Bethune-Cookman","Norfolk St.","V",13,7,NA,2
2014,11,13,"Bethune-Cookman","Hampton","V",35,40,NA,2
2014,11,22,"Bethune-Cookman","Florida A&M","N",18,17,1,2
2014,9,20,"Brown","Georgetown","V",3,17,NA,2
2014,9,27,"Brown","Harvard","H",14,22,NA,2
2014,10,4,"Brown","Rhode Island","V",20,13,NA,2
2014,10,11,"Brown","Holy Cross","H",27,24,1,2
2014,10,18,"Brown","Princeton","V",16,27,NA,2
2014,10,25,"Brown","Cornell","H",42,16,NA,2
2014,11,1,"Brown","Penn","V",21,13,NA,2
2014,11,8,"Brown","Yale","H",42,45,NA,2
2014,11,15,"Brown","Dartmouth","V",21,44,NA,2
2014,11,22,"Brown","Columbia","H",41,7,NA,2
2014,8,28,"Bryant","Stony Brook","V",13,7,NA,2
2014,9,13,"Bryant","Maine","H",13,10,NA,2
2014,9,20,"Bryant","Liberty","V",21,38,NA,2
2014,10,4,"Bryant","Bucknell","H",34,15,NA,2
2014,10,18,"Bryant","Saint Francis (PA)","V",42,27,NA,2
2014,10,25,"Bryant","Robert Morris","H",42,9,NA,2
2014,11,1,"Bryant","Central Conn. St.","H",31,3,NA,2
2014,11,8,"Bryant","Duquesne","V",20,17,NA,2
2014,11,15,"Bryant","Sacred Heart","V",7,14,NA,2
2014,11,22,"Bryant","Wagner","H",20,23,NA,2
2014,8,30,"Bucknell","VMI","H",42,38,NA,2
2014,9,6,"Bucknell","Marist","V",22,0,NA,2
2014,9,20,"Bucknell","Sacred Heart","V",36,20,NA,2
2014,9,27,"Bucknell","Cornell","H",20,7,NA,2
2014,10,4,"Bucknell","Bryant","V",15,34,NA,2
2014,10,11,"Bucknell","Lehigh","V",45,24,NA,2
2014,10,25,"Bucknell","Georgetown","V",22,17,NA,2
2014,11,1,"Bucknell","Lafayette","H",27,24,1,2
2014,11,7,"Bucknell","Fordham","H",27,30,1,2
2014,11,15,"Bucknell","Holy Cross","V",31,24,1,2
2014,11,22,"Bucknell","Colgate","H",6,21,NA,2
2014,9,13,"Butler","Youngstown St.","V",13,44,NA,2
2014,9,27,"Butler","Jacksonville","H",7,35,NA,2
2014,10,4,"Butler","Stetson","V",49,41,NA,2
2014,10,11,"Butler","Campbell","V",9,28,NA,2
2014,10,18,"Butler","San Diego","H",21,27,NA,2
2014,10,25,"Butler","Drake","V",19,21,NA,2
2014,11,1,"Butler","Morehead St.","H",62,52,NA,2
2014,11,8,"Butler","Valparaiso","V",3,17,NA,2
2014,11,15,"Butler","Dayton","H",14,21,NA,2
2014,9,6,"Cal Poly","South Dakota St.","V",18,44,NA,2
2014,9,20,"Cal Poly","Portland St.","H",42,14,NA,2
2014,9,27,"Cal Poly","Northern Ariz.","V",35,38,NA,2
2014,10,4,"Cal Poly","Southern Utah","H",42,39,NA,2
2014,10,11,"Cal Poly","Weber St.","V",30,24,NA,2
2014,10,18,"Cal Poly","Sacramento St.","V",56,27,NA,2
2014,10,25,"Cal Poly","Montana","H",41,21,NA,2
2014,11,1,"Cal Poly","Montana St.","H",35,27,NA,2
2014,11,8,"Cal Poly","Idaho St.","V",28,30,NA,2
2014,11,15,"Cal Poly","UC Davis","H",35,48,NA,2
2014,11,22,"Cal Poly","San Diego","V",34,3,NA,2
2014,9,11,"Campbell","Charleston So.","V",10,34,NA,2
2014,9,27,"Campbell","Valparaiso","H",34,24,NA,2
2014,10,4,"Campbell","Morehead St.","V",31,24,NA,2
2014,10,11,"Campbell","Butler","H",28,9,NA,2
2014,10,18,"Campbell","Davidson","H",28,27,NA,2
2014,10,25,"Campbell","Marist","V",20,27,NA,2
2014,11,1,"Campbell","Stetson","H",24,28,NA,2
2014,11,15,"Campbell","Jacksonville","V",19,45,NA,2
2014,11,22,"Campbell","Dayton","V",14,19,NA,2
2014,9,6,"Central Ark.","UT Martin","H",26,24,NA,2
2014,9,13,"Central Ark.","Montana St.","V",33,43,NA,2
2014,9,20,"Central Ark.","Missouri St.","H",31,33,NA,2
2014,9,27,"Central Ark.","Nicholls St.","H",52,18,NA,2
2014,10,4,"Central Ark.","SFA","V",49,39,NA,2
2014,10,11,"Central Ark.","Houston Baptist","H",70,0,NA,2
2014,10,18,"Central Ark.","Southeastern La.","V",24,41,NA,2
2014,10,25,"Central Ark.","Northwestern St.","H",58,35,NA,2
2014,11,1,"Central Ark.","Abilene Christian","N",35,52,NA,2
2014,11,8,"Central Ark.","Lamar University","H",44,41,1,2
2014,11,22,"Central Ark.","Sam Houston St.","V",31,38,NA,2
2014,8,30,"Central Conn. St.","Towson","V",31,27,NA,2
2014,9,6,"Central Conn. St.","Albany (NY)","H",0,19,NA,2
2014,9,13,"Central Conn. St.","Holy Cross","V",7,20,NA,2
2014,9,20,"Central Conn. St.","Dartmouth","V",25,35,NA,2
2014,9,27,"Central Conn. St.","Rhode Island","H",38,14,NA,2
2014,10,11,"Central Conn. St.","Duquesne","H",20,28,NA,2
2014,10,18,"Central Conn. St.","Robert Morris","V",24,27,NA,2
2014,10,25,"Central Conn. St.","Wagner","H",10,20,NA,2
2014,11,1,"Central Conn. St.","Bryant","V",3,31,NA,2
