"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2015,9,19,"Abilene Christian","Houston Baptist","H",49,21,NA,2
2015,9,26,"Abilene Christian","SFA","H",35,32,NA,2
2015,10,3,"Abilene Christian","Central Ark.","V",14,42,NA,2
2015,10,10,"Abilene Christian","Lamar University","V",28,44,NA,2
2015,10,17,"Abilene Christian","Sam Houston St.","H",21,49,NA,2
2015,10,25,"Abilene Christian","Incarnate Word","V",20,25,NA,2
2015,10,31,"Abilene Christian","McNeese","H",13,15,NA,2
2015,11,7,"Abilene Christian","Northwestern St.","V",22,39,NA,2
2015,11,14,"Abilene Christian","Southeastern La.","H",21,17,NA,2
2015,11,21,"Abilene Christian","Northern Colo.","V",36,40,NA,2
2015,9,19,"Alabama A&M","Prairie View","V",49,53,NA,2
2015,9,26,"Alabama A&M","Ark.-Pine Bluff","H",28,9,NA,2
2015,10,3,"Alabama A&M","Coastal Caro.","V",0,55,NA,2
2015,10,10,"Alabama A&M","Grambling","V",14,37,NA,2
2015,10,17,"Alabama A&M","Jackson St.","H",28,22,NA,2
2015,10,31,"Alabama A&M","Alabama St.","V",20,35,NA,2
2015,11,7,"Alabama A&M","Mississippi Val.","H",24,27,1,2
2015,11,14,"Alabama A&M","Southern U.","V",7,46,NA,2
2015,11,21,"Alabama A&M","Alcorn","V",10,44,NA,2
2015,11,28,"Alabama A&M","Texas Southern","H",38,7,NA,2
2015,9,6,"Alabama St.","Tennessee St.","V",14,24,NA,2
2015,9,12,"Alabama St.","Alcorn","H",14,31,NA,2
2015,9,19,"Alabama St.","Grambling","H",10,34,NA,2
2015,9,26,"Alabama St.","Mississippi Val.","V",45,15,NA,2
2015,10,1,"Alabama St.","Texas Southern","V",41,23,NA,2
2015,10,10,"Alabama St.","Southern U.","H",34,45,NA,2
2015,10,15,"Alabama St.","Ark.-Pine Bluff","V",31,24,NA,2
2015,10,31,"Alabama St.","Alabama A&M","H",35,20,NA,2
2015,11,7,"Alabama St.","Jackson St.","V",17,12,NA,2
2015,11,14,"Alabama St.","Prairie View","H",13,38,NA,2
2015,9,12,"Albany (NY)","Rhode Island","H",35,7,NA,2
2015,9,19,"Albany (NY)","James Madison","V",28,42,NA,2
2015,9,26,"Albany (NY)","Duquesne","H",17,14,NA,2
2015,10,3,"Albany (NY)","Holy Cross","V",0,37,NA,2
2015,10,10,"Albany (NY)","Maine","H",7,39,NA,2
2015,10,17,"Albany (NY)","Villanova","H",0,37,NA,2
2015,10,31,"Albany (NY)","Richmond","V",31,38,NA,2
2015,11,7,"Albany (NY)","Delaware","V",17,6,NA,2
2015,11,14,"Albany (NY)","New Hampshire","H",14,24,NA,2
2015,11,21,"Albany (NY)","Stony Brook","V",2,20,NA,2
2015,9,12,"Alcorn","Alabama St.","V",31,14,NA,2
2015,9,19,"Alcorn","Mississippi Val.","H",55,14,NA,2
2015,10,3,"Alcorn","Ark.-Pine Bluff","N",61,14,NA,2
2015,10,17,"Alcorn","Grambling","H",34,35,NA,2
2015,10,31,"Alcorn","Southern U.","V",48,7,NA,2
2015,11,7,"Alcorn","Prairie View","H",34,40,NA,2
2015,11,14,"Alcorn","Texas Southern","V",65,13,NA,2
2015,11,21,"Alcorn","Alabama A&M","H",44,10,NA,2
2015,11,28,"Alcorn","Jackson St.","V",14,10,NA,2
2015,12,5,"Alcorn","Grambling","N",49,21,NA,2
2015,12,19,"Alcorn","N.C. A&T","N",34,41,NA,2
2015,9,6,"Ark.-Pine Bluff","South Carolina St.","N",7,35,NA,2
2015,9,19,"Ark.-Pine Bluff","Texas Southern","H",20,24,NA,2
2015,9,26,"Ark.-Pine Bluff","Alabama A&M","V",9,28,NA,2
2015,10,3,"Ark.-Pine Bluff","Alcorn","N",14,61,NA,2
2015,10,15,"Ark.-Pine Bluff","Alabama St.","H",24,31,NA,2
2015,10,24,"Ark.-Pine Bluff","Jackson St.","V",3,37,NA,2
2015,10,31,"Ark.-Pine Bluff","Prairie View","V",29,54,NA,2
2015,11,7,"Ark.-Pine Bluff","Southern U.","H",24,57,NA,2
2015,11,14,"Ark.-Pine Bluff","Grambling","H",31,49,NA,2
2015,11,21,"Ark.-Pine Bluff","Mississippi Val.","V",25,19,1,2
2015,9,5,"Austin Peay","Mercer","H",7,28,NA,2
2015,9,26,"Austin Peay","Eastern Ky.","V",13,51,NA,2
2015,10,3,"Austin Peay","Eastern Ill.","H",16,40,NA,2
2015,10,10,"Austin Peay","Murray St.","V",18,34,NA,2
2015,10,17,"Austin Peay","UT Martin","H",14,44,NA,2
2015,10,24,"Austin Peay","Jacksonville St.","H",7,27,NA,2
2015,10,31,"Austin Peay","Tennessee St.","V",6,20,NA,2
2015,11,7,"Austin Peay","Southeast Mo. St.","H",15,44,NA,2
2015,11,14,"Austin Peay","Tennessee Tech","V",24,42,NA,2
