"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2013,9,7,"Air Force","Utah St.","H",20,52,NA,2
2013,9,13,"Air Force","Boise St.","V",20,42,NA,2
2013,9,21,"Air Force","Wyoming","H",23,56,NA,2
2013,9,28,"Air Force","Nevada","V",42,45,NA,2
2013,10,5,"Air Force","Navy","V",10,28,NA,2
2013,10,10,"Air Force","San Diego St.","H",20,27,NA,2
2013,10,26,"Air Force","Notre Dame","H",10,45,NA,2
2013,11,2,"Air Force","Army West Point","H",42,28,NA,2
2013,11,8,"Air Force","New Mexico","V",37,45,NA,2
2013,11,21,"Air Force","UNLV","H",21,41,NA,2
2013,11,30,"Air Force","Colorado St.","V",13,58,NA,2
2013,8,29,"Akron","UCF","V",7,38,NA,2
2013,9,14,"Akron","Michigan","V",24,28,NA,2
2013,9,21,"Akron","Louisiana","H",30,35,NA,2
2013,9,28,"Akron","Bowling Green","V",14,31,NA,2
2013,10,5,"Akron","Ohio","H",3,43,NA,2
2013,10,12,"Akron","Northern Ill.","V",20,27,NA,2
2013,10,19,"Akron","Miami (OH)","V",24,17,NA,2
2013,10,26,"Akron","Ball St.","H",24,42,NA,2
2013,11,2,"Akron","Kent St.","H",16,7,NA,2
2013,11,16,"Akron","Massachusetts","V",14,13,NA,2
2013,11,29,"Akron","Toledo","H",31,29,NA,2
2013,8,31,"Alabama","Virginia Tech","N",35,10,NA,2
2013,9,14,"Alabama","Texas A&M","V",49,42,NA,2
2013,9,21,"Alabama","Colorado St.","H",31,6,NA,2
2013,9,28,"Alabama","Ole Miss","H",25,0,NA,2
2013,10,5,"Alabama","Georgia St.","H",45,3,NA,2
2013,10,12,"Alabama","Kentucky","V",48,7,NA,2
2013,10,19,"Alabama","Arkansas","H",52,0,NA,2
2013,10,26,"Alabama","Tennessee","H",45,10,NA,2
2013,11,9,"Alabama","LSU","H",38,17,NA,2
2013,11,16,"Alabama","Mississippi St.","V",20,7,NA,2
2013,11,30,"Alabama","Auburn","V",28,34,NA,2
2014,1,2,"Alabama","Oklahoma","N",31,45,NA,2
2013,10,26,"Appalachian St.","Ga. Southern","H",38,14,NA,2
2013,11,9,"Appalachian St.","Georgia","V",6,45,NA,2
2013,9,7,"Arizona","UNLV","V",58,13,NA,2
2013,9,14,"Arizona","UTSA","H",38,13,NA,2
2013,9,28,"Arizona","Washington","V",13,31,NA,2
2013,10,10,"Arizona","Southern California","V",31,38,NA,2
2013,10,19,"Arizona","Utah","H",35,24,NA,2
2013,10,26,"Arizona","Colorado","V",44,20,NA,2
2013,11,2,"Arizona","California","V",33,28,NA,2
2013,11,9,"Arizona","UCLA","H",26,31,NA,2
2013,11,16,"Arizona","Washington St.","H",17,24,NA,2
2013,11,23,"Arizona","Oregon","H",42,16,NA,2
2013,11,30,"Arizona","Arizona St.","V",21,58,NA,2
2013,12,31,"Arizona","Boston College","N",42,19,NA,2
2013,9,14,"Arizona St.","Wisconsin","H",32,30,NA,2
2013,9,21,"Arizona St.","Stanford","V",28,42,NA,2
2013,9,28,"Arizona St.","Southern California","H",62,41,NA,2
2013,10,5,"Arizona St.","Notre Dame","N",34,37,NA,2
2013,10,12,"Arizona St.","Colorado","H",54,13,NA,2
2013,10,19,"Arizona St.","Washington","H",53,24,NA,2
2013,10,31,"Arizona St.","Washington St.","V",55,21,NA,2
2013,11,9,"Arizona St.","Utah","V",20,19,NA,2
2013,11,16,"Arizona St.","Oregon St.","H",30,17,NA,2
2013,11,23,"Arizona St.","UCLA","V",38,33,NA,2
2013,11,30,"Arizona St.","Arizona","H",58,21,NA,2
2013,12,7,"Arizona St.","Stanford","H",14,38,NA,2
2013,12,30,"Arizona St.","Texas Tech","N",23,37,NA,2
2013,8,31,"Arkansas","Louisiana","H",34,14,NA,2
2013,9,14,"Arkansas","Southern Miss.","H",24,3,NA,2
2013,9,21,"Arkansas","Rutgers","V",24,28,NA,2
2013,9,28,"Arkansas","Texas A&M","H",33,45,NA,2
2013,10,5,"Arkansas","Florida","V",10,30,NA,2
2013,10,12,"Arkansas","South Carolina","H",7,52,NA,2
2013,10,19,"Arkansas","Alabama","V",0,52,NA,2
2013,11,2,"Arkansas","Auburn","H",17,35,NA,2
2013,11,9,"Arkansas","Ole Miss","V",24,34,NA,2
2013,11,23,"Arkansas","Mississippi St.","H",17,24,1,2
2013,11,29,"Arkansas","LSU","V",27,31,NA,2
2013,9,7,"Army West Point","Ball St.","V",14,40,NA,2
2013,9,14,"Army West Point","Stanford","H",20,34,NA,2
2013,9,21,"Army West Point","Wake Forest","H",11,25,NA,2
2013,9,28,"Army West Point","Louisiana Tech","N",35,16,NA,2
2013,10,5,"Army West Point","Boston College","V",27,48,NA,2
2013,10,12,"Army West Point","Eastern Mich.","H",50,25,NA,2
2013,10,19,"Army West Point","Temple","V",14,33,NA,2
2013,11,2,"Army West Point","Air Force","V",28,42,NA,2
2013,11,9,"Army West Point","Western Ky.","H",17,21,NA,2
2013,11,30,"Army West Point","Hawaii","V",42,49,NA,2
2013,12,14,"Army West Point","Navy","N",7,34,NA,2
2013,8,31,"Auburn","Washington St.","H",31,24,NA,2
2013,9,7,"Auburn","Arkansas St.","H",38,9,NA,2
