"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2015,9,12,"Air Force","San Jose St.","H",37,16,NA,2
2015,9,19,"Air Force","Michigan St.","V",21,35,NA,2
2015,10,3,"Air Force","Navy","V",11,33,NA,2
2015,10,10,"Air Force","Wyoming","H",31,17,NA,2
2015,10,17,"Air Force","Colorado St.","V",23,38,NA,2
2015,10,24,"Air Force","Fresno St.","H",42,14,NA,2
2015,10,31,"Air Force","Hawaii","V",58,7,NA,2
2015,11,7,"Air Force","Army West Point","H",20,3,NA,2
2015,11,14,"Air Force","Utah St.","H",35,28,NA,2
2015,11,20,"Air Force","Boise St.","V",37,30,NA,2
2015,11,28,"Air Force","New Mexico","V",35,47,NA,2
2015,12,5,"Air Force","San Diego St.","V",24,27,NA,2
2015,12,29,"Air Force","California","N",36,55,NA,2
2015,9,5,"Akron","Oklahoma","V",3,41,NA,2
2015,9,12,"Akron","Pittsburgh","H",7,24,NA,2
2015,9,26,"Akron","Louisiana","V",35,14,NA,2
2015,10,3,"Akron","Ohio","H",12,14,NA,2
2015,10,10,"Akron","Eastern Mich.","V",47,21,NA,2
2015,10,17,"Akron","Bowling Green","V",10,59,NA,2
2015,10,31,"Akron","Central Mich.","H",6,14,NA,2
2015,11,7,"Akron","Massachusetts","V",17,13,NA,2
2015,11,14,"Akron","Miami (OH)","V",37,28,NA,2
2015,11,21,"Akron","Buffalo","H",42,21,NA,2
2015,11,27,"Akron","Kent St.","H",20,0,NA,2
2015,12,22,"Akron","Utah St.","N",23,21,NA,2
2015,9,5,"Alabama","Wisconsin","N",35,17,NA,2
2015,9,12,"Alabama","Middle Tenn.","H",37,10,NA,2
2015,9,19,"Alabama","Ole Miss","H",37,43,NA,2
2015,9,26,"Alabama","La.-Monroe","H",34,0,NA,2
2015,10,3,"Alabama","Georgia","V",38,10,NA,2
2015,10,10,"Alabama","Arkansas","H",27,14,NA,2
2015,10,17,"Alabama","Texas A&M","V",41,23,NA,2
