"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2013,9,21,"Abilene Christian","Illinois St.","V",17,31,NA,2
2013,10,12,"Abilene Christian","Houston Baptist","V",69,12,NA,2
2013,10,19,"Abilene Christian","Incarnate Word","H",40,6,NA,2
2013,11,9,"Abilene Christian","Incarnate Word","V",31,34,NA,2
2013,11,16,"Abilene Christian","Prairie View","V",65,45,NA,2
2013,8,31,"Alabama A&M","Grambling","V",23,9,NA,2
2013,9,14,"Alabama A&M","South Carolina St.","V",0,32,NA,2
2013,9,21,"Alabama A&M","Prairie View","V",26,28,NA,2
2013,9,28,"Alabama A&M","Texas Southern","H",12,10,NA,2
2013,10,5,"Alabama A&M","Mississippi Val.","H",9,28,NA,2
2013,10,12,"Alabama A&M","Southern U.","V",17,20,2,2
2013,10,26,"Alabama A&M","Alabama St.","N",7,31,NA,2
2013,11,2,"Alabama A&M","Alcorn","V",19,18,NA,2
2013,11,9,"Alabama A&M","Jackson St.","H",20,26,NA,2
2013,11,16,"Alabama A&M","Ark.-Pine Bluff","H",50,42,NA,2
2013,8,31,"Alabama St.","Jacksonville St.","H",22,24,NA,2
2013,9,7,"Alabama St.","Jackson St.","V",23,30,NA,2
2013,9,14,"Alabama St.","Ark.-Pine Bluff","V",40,39,NA,2
2013,9,21,"Alabama St.","Grambling","H",52,21,NA,2
2013,9,28,"Alabama St.","Alcorn","H",49,30,NA,2
2013,10,5,"Alabama St.","Texas Southern","V",34,2,NA,2
2013,10,12,"Alabama St.","Prairie View","H",48,42,1,2
2013,10,26,"Alabama St.","Alabama A&M","N",31,7,NA,2
2013,11,9,"Alabama St.","Southern U.","H",28,31,NA,2
2013,11,16,"Alabama St.","Mississippi Val.","V",19,7,NA,2
2013,8,31,"Albany (NY)","Duquesne","V",24,35,NA,2
2013,9,7,"Albany (NY)","Colgate","V",37,34,NA,2
2013,9,14,"Albany (NY)","Rhode Island","H",13,19,1,2
2013,9,21,"Albany (NY)","Central Conn. St.","H",17,20,NA,2
2013,10,5,"Albany (NY)","James Madison","V",13,40,NA,2
2013,10,12,"Albany (NY)","Delaware","V",30,33,NA,2
2013,10,19,"Albany (NY)","Towson","H",17,44,NA,2
2013,11,2,"Albany (NY)","Richmond","V",10,27,NA,2
2013,11,9,"Albany (NY)","Maine","H",27,33,NA,2
2013,11,16,"Albany (NY)","New Hampshire","H",20,37,NA,2
2013,11,23,"Albany (NY)","Stony Brook","V",3,24,NA,2
2013,9,14,"Alcorn","Mississippi Val.","H",35,28,NA,2
2013,9,21,"Alcorn","Ark.-Pine Bluff","V",21,16,NA,2
2013,9,28,"Alcorn","Alabama St.","V",30,49,NA,2
2013,10,12,"Alcorn","Grambling","N",48,0,NA,2
2013,10,19,"Alcorn","Texas Southern","V",20,13,NA,2
2013,10,26,"Alcorn","Southern U.","V",44,38,1,2
2013,11,2,"Alcorn","Alabama A&M","H",18,19,NA,2
2013,11,7,"Alcorn","Prairie View","H",50,35,NA,2
2013,11,16,"Alcorn","Jackson St.","V",48,33,NA,2
2013,9,7,"Ark.-Pine Bluff","McNeese","V",14,58,NA,2
2013,9,14,"Ark.-Pine Bluff","Alabama St.","H",39,40,NA,2
2013,9,21,"Ark.-Pine Bluff","Alcorn","H",16,21,NA,2
2013,10,5,"Ark.-Pine Bluff","Jackson St.","V",33,42,NA,2
2013,10,12,"Ark.-Pine Bluff","Texas Southern","H",28,41,NA,2
